journal,idJ,idP,title,idK,keyword
IEEE Journal of Selected Topics in Quantum Electronics,j152,p230,In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,k753,E. Resin flow
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k754,Bioorthogonal chemistry
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k755,Biotechnology
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k756,Metabolic labeling
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k757,Proteomics
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k758,Residue-specific labeling
Advances in Heat Transfer,j153,p231,Non-canonical amino acid labeling in proteomics and biotechnology,k759,Site-specific labeling
Frontiers in Heat and Mass Transfer,j154,p234,The design critique and the moral goods of studio pedagogy,k764,design critique
Frontiers in Heat and Mass Transfer,j154,p234,The design critique and the moral goods of studio pedagogy,k765,design education
Frontiers in Heat and Mass Transfer,j154,p234,The design critique and the moral goods of studio pedagogy,k766,ethics
Frontiers in Heat and Mass Transfer,j154,p234,The design critique and the moral goods of studio pedagogy,k767,philosophy of design
Frontiers in Heat and Mass Transfer,j154,p234,The design critique and the moral goods of studio pedagogy,k768,reasoning
Design Science,j155,p236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,k769,Functional data analysis
Design Science,j155,p236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,k770,Internal knee extension moment
Design Science,j155,p236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,k771,Knee flexion angle
Design Science,j155,p236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,k772,Vertical ground reaction force
Design Science,j155,p236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,k773,Waveform analysis
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k813,"Chondrodysplasia (cho, col11a1)"
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k814,High temperature requirement A1 serine protease (HtrA1)
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k815,Losartan
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k816,Osteoarthritis (OA)
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k817,Temporomandibular joint (TMJ)
Design Science,j155,p250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,k818,Transforming growth factor-beta 1 (TGF-β1)
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",j156,p237,Recognition of Chinese food using convolutional neural network,k442,Convolutional neural network
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",j156,p237,Recognition of Chinese food using convolutional neural network,k774,Bag-of-features model
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",j156,p237,Recognition of Chinese food using convolutional neural network,k775,Chinese food
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",j156,p237,Recognition of Chinese food using convolutional neural network,k776,Recognition
Nanoscale Advances,j157,p238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,k277,Compliant mechanisms
Nanoscale Advances,j157,p238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,k777,Dynamic stiffness matrix
Nanoscale Advances,j157,p238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,k778,Flexure hinge
Nanoscale Advances,j157,p238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,k779,Micro-/nano positioning
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k788,DTPA-BIGA
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k789,DTPABMA
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k790,Gadolinium retention
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k791,Gd-DTPA-BIGA
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k792,Gd-DTPA-BMA
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k793,ICP-MS
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k794,Transmetallation
International Journal of Masonry Research and Innovation,j158,p242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,k795,Zinc sink
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,k796,High-throughput simulations
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,k797,Materials informatics
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,k798,Metallic glasses
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,k799,Structure-property relationships
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k800,Basis Vectors
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k801,Crystal Structure
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k802,Database
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k803,Lattice Vectors
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k804,Space Groups
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p244,The AFLOW Library of Crystallographic Prototypes: Part 2,k805,Wyckoff Positions
Turkish Journal of Electrical Engineering and Computer Sciences,j159,p243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,k92,Grain boundaries
JOM,j16,p18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",k72,Active thermal control
JOM,j16,p18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",k73,Deployable radiator
JOM,j16,p18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",k74,Spacecraft thermal control
Science Robotics,j162,p247,A usability study of four secure email tools using paired participants,k806,Grassroots adoption
Science Robotics,j162,p247,A usability study of four secure email tools using paired participants,k807,Paired participants
Science Robotics,j162,p247,A usability study of four secure email tools using paired participants,k808,PGP
Science Robotics,j162,p247,A usability study of four secure email tools using paired participants,k809,Secure email
Masonry International,j165,p252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,k308,Friction stir welding
Masonry International,j165,p252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,k819,Numerical simulation
Masonry International,j165,p252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,k820,Recrystallized grain size
Masonry International,j165,p252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,k821,Stainless steel
Mechanics Based Design of Structures and Machines,j166,p254,"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",k51,multi-robot systems
Mechanics Based Design of Structures and Machines,j166,p254,"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",k825,mapping
Mechanics Based Design of Structures and Machines,j166,p254,"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",k826,SLAM
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k827,Compatibility
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k828,Deformation
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k829,Grouted prisms
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k830,High-strength masonry
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k831,Hollow prisms
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k832,Masonry efficiency
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k833,Masonry grout
"Minerals, Metals and Materials Series",j167,p255,Compressive strength of high-strength concrete masonry grouted prisms,k834,Shrinkage compensating admixtures
Frontiers in Marine Science,j168,p257,Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,k161,Additive manufacturing
Advances in Space Research,j169,p258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,k63,Concrete bridge deck
Advances in Space Research,j169,p258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,k64,Delamination
Advances in Space Research,j169,p258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,k835,Air-coupled impact-echo testing
Advances in Space Research,j169,p258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,k836,Chain dragging
"Journal of Electronic Packaging, Transactions of the ASME",j171,p261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,k841,Crystallographic orientation
"Journal of Electronic Packaging, Transactions of the ASME",j171,p261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,k842,Hydrogen embrittlement
"Journal of Electronic Packaging, Transactions of the ASME",j171,p261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,k843,Recovery
"Journal of Electronic Packaging, Transactions of the ASME",j171,p261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,k844,Steel
Tissue Engineering - Part B: Reviews,j172,p262,Over-Design Versus Redesign as a Response to Future Requirements,k845,capabilities
Tissue Engineering - Part B: Reviews,j172,p262,Over-Design Versus Redesign as a Response to Future Requirements,k846,excess
Tissue Engineering - Part B: Reviews,j172,p262,Over-Design Versus Redesign as a Response to Future Requirements,k847,Over-design
Tissue Engineering - Part B: Reviews,j172,p262,Over-Design Versus Redesign as a Response to Future Requirements,k848,redesign
Tissue Engineering - Part B: Reviews,j172,p262,Over-Design Versus Redesign as a Response to Future Requirements,k849,requirements
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k850,Biocompatible
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k851,Flexible
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k852,III-nitride
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k853,Piezoelectric generators
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k854,Self-powered system
Chinese Journal of Mechanical Engineering (English Edition),j173,p264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,k855,Thin film
Theoretical and Computational Fluid Dynamics,j174,p265,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,k420,Nondestructive evaluation
Theoretical and Computational Fluid Dynamics,j174,p265,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,k421,Nondestructive testing
Theoretical and Computational Fluid Dynamics,j174,p265,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,k422,Nonlinear resonant ultrasound spectroscopy
Theoretical and Computational Fluid Dynamics,j174,p265,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,k856,Stress corrosion cracking
Experimental Thermal and Fluid Science,j175,p266,Roadmap on biological pathways for electronic nanofabrication and materials,k857,Biofabrication
Experimental Thermal and Fluid Science,j175,p266,Roadmap on biological pathways for electronic nanofabrication and materials,k858,DNA
Experimental Thermal and Fluid Science,j175,p266,Roadmap on biological pathways for electronic nanofabrication and materials,k859,Nanofabrication
Experimental Thermal and Fluid Science,j175,p266,Roadmap on biological pathways for electronic nanofabrication and materials,k860,Roadmap
Experimental Thermal and Fluid Science,j175,p266,Roadmap on biological pathways for electronic nanofabrication and materials,k861,Semiconductors
Finite Fields and their Applications,j176,p269,Measuring the transverse Young's modulus of maize rind and pith tissues,k862,Finite element modeling
Finite Fields and their Applications,j176,p269,Measuring the transverse Young's modulus of maize rind and pith tissues,k863,Stiffness
Finite Fields and their Applications,j176,p269,Measuring the transverse Young's modulus of maize rind and pith tissues,k864,Tissue properties
Finite Fields and their Applications,j176,p269,Measuring the transverse Young's modulus of maize rind and pith tissues,k865,Transverse compression
Finite Fields and their Applications,j176,p269,Measuring the transverse Young's modulus of maize rind and pith tissues,k866,Young's modulus
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k104,pose estimation
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k383,motion control
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k513,Calibration
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k867,pneumatic actuators
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k868,robot kinematics
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k869,soft robotics
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k870,state estimation
Journal of Constructional Steel Research,j177,p270,Configuration estimation for accurate position control of large-scale soft robots,k871,visual servoing
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,j178,p271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,k299,Natural convection
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,j178,p271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,k323,Heat transfer
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,j178,p271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,k872,Mass transfer
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,j178,p271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,k873,Nucleation
Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,j178,p271,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,k874,Superhydrophobic
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k75,Catalysis
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k76,CO2 reduction
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k77,Coal
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k78,Gasification
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k79,Ideal syngas
IEEE Transactions on Aerospace and Electronic Systems,j18,p20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,k80,Pyrolysis
Engineering Structures,j180,p274,Dynamics of a capsule flowing in a tube under pulsatile flow,k878,Deformable capsule
Engineering Structures,j180,p274,Dynamics of a capsule flowing in a tube under pulsatile flow,k879,IGA
Engineering Structures,j180,p274,Dynamics of a capsule flowing in a tube under pulsatile flow,k880,Pulsatile flow
Engineering Structures,j180,p274,Dynamics of a capsule flowing in a tube under pulsatile flow,k881,T-spline
Biosensors and Bioelectronics,j181,p275,Failure time distributions for complex equipment,k882,complex systems
Biosensors and Bioelectronics,j181,p275,Failure time distributions for complex equipment,k883,Drenick's theorem
Biosensors and Bioelectronics,j181,p275,Failure time distributions for complex equipment,k884,exponential distribution
Biosensors and Bioelectronics,j181,p275,Failure time distributions for complex equipment,k885,failure law
International Journal of Construction Education and Research,j182,p277,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,k595,SAR ADC
International Journal of Construction Education and Research,j182,p277,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,k889,DAC layout
International Journal of Construction Education and Research,j182,p277,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,k890,DAC settling
International Journal of Construction Education and Research,j182,p277,A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,k891,timing scheme
Current Opinion in Biotechnology,j183,p278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,k393,Machine learning
Current Opinion in Biotechnology,j183,p278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,k892,Brittle crack
Current Opinion in Biotechnology,j183,p278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,k893,Crack interaction
Current Opinion in Biotechnology,j183,p278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,k894,Graph theory
Current Opinion in Biotechnology,j183,p278,Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,k895,Reduced-order models
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k448,Augmented reality
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k898,3D display
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k899,Acousto-optic modulator
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k900,Holographic video
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k901,Laser-induced structures
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k902,Leaky mode
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k903,Lithium niobate
Journal of Defense Modeling and Simulation,j184,p282,Static structures in leaky mode waveguides,k904,Near-eye display
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k910,Architecture development
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k911,Brainstorming
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k912,Cad modeling
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k913,Controlled convergence
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k914,Customizing the product development process
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k915,Design for manufacturing
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k916,Engineering drawings
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k917,Failure modes and effects analysis
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k918,Product development design skills
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k919,Product development textbook
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k920,Product ergonomics
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k921,Product refinement
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k922,Prototyping
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k923,Quality function deployment
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k924,Subsystem engineering
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k925,Troubleshooting
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k926,Uncertainty analysis
Biomedical Materials (Bristol),j186,p285,Product development: Principles and tools for creating desirable and transferable designs,k927,Value engineering
Diamond and Related Materials,j188,p307,Frequency response of the leap motion controller and its suitability for measuring tremor,k697,Tremor
Diamond and Related Materials,j188,p307,Frequency response of the leap motion controller and its suitability for measuring tremor,k961,Frequency response
Diamond and Related Materials,j188,p307,Frequency response of the leap motion controller and its suitability for measuring tremor,k962,Leap motion controller
Diamond and Related Materials,j188,p307,Frequency response of the leap motion controller and its suitability for measuring tremor,k963,Markerless motion capture
International Journal of Robotics Research,j19,p23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,k91,Atomistic simulations
International Journal of Robotics Research,j19,p23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,k92,Grain boundaries
International Journal of Robotics Research,j19,p23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,k93,Nickel
IEEE Photonics Technology Letters,j190,p360,A CAD assembly simplification approach with ray casting,k1036,Assembly simplification
IEEE Photonics Technology Letters,j190,p360,A CAD assembly simplification approach with ray casting,k1037,Computer-aided design
IEEE Photonics Technology Letters,j190,p360,A CAD assembly simplification approach with ray casting,k1038,External geometry
IEEE Photonics Technology Letters,j190,p360,A CAD assembly simplification approach with ray casting,k1039,Ray casting
IEEE Photonics Technology Letters,j190,p328,A neutral XML design framework for generating parametric parts in multiple CAD systems,k973,Design intent
IEEE Photonics Technology Letters,j190,p328,A neutral XML design framework for generating parametric parts in multiple CAD systems,k974,Neutral format
IEEE Photonics Technology Letters,j190,p328,A neutral XML design framework for generating parametric parts in multiple CAD systems,k975,Parametric design
IEEE Photonics Technology Letters,j190,p328,A neutral XML design framework for generating parametric parts in multiple CAD systems,k976,XML
IEEE Control Systems,j191,p329,Measurement of radiative gas and particle emissions in biomass flames,k48,Temperature
IEEE Control Systems,j191,p329,Measurement of radiative gas and particle emissions in biomass flames,k977,FTIR
IEEE Control Systems,j191,p329,Measurement of radiative gas and particle emissions in biomass flames,k978,Particle combustion
IEEE Control Systems,j191,p329,Measurement of radiative gas and particle emissions in biomass flames,k979,Radiation
Research Technology Management,j193,p339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,k1000,Soluble salts
Research Technology Management,j193,p339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,k1001,Test methods
Research Technology Management,j193,p371,The Sobrado Vallim Rehabilitation Project,k1062,Adobe
Research Technology Management,j193,p371,The Sobrado Vallim Rehabilitation Project,k1063,Conservation
Research Technology Management,j193,p371,The Sobrado Vallim Rehabilitation Project,k1064,Historical preservation
Research Technology Management,j193,p371,The Sobrado Vallim Rehabilitation Project,k1065,Rammed earth
Research Technology Management,j193,p371,The Sobrado Vallim Rehabilitation Project,k1066,Structural rehabilitation
Research Technology Management,j193,p339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,k997,Ceramic blocks
Research Technology Management,j193,p339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,k998,Efflorescence
Research Technology Management,j193,p339,A Proposed Test to Evaluate Efflorescence Potential of Ceramic Blocks,k999,Masonry
"Learning, Media and Technology",j194,p341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,k1002,Multi-robot systems
"Learning, Media and Technology",j194,p341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,k1003,nonlinear filters
"Learning, Media and Technology",j194,p341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,k1004,nonlinear observability
"Learning, Media and Technology",j194,p341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,k104,pose estimation
"Learning, Media and Technology",j194,p341,Relative Heading Estimation and Its Application in Target Handoff in GPS-Denied Environments,k106,unmanned aerial vehicles
"Journal of Astronomical Telescopes, Instruments, and Systems",j196,p350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,k1008,Biophotonics
"Journal of Astronomical Telescopes, Instruments, and Systems",j196,p350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,k1009,soft photolithography
"Journal of Astronomical Telescopes, Instruments, and Systems",j196,p350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,k1010,waveguides
"Journal of Astronomical Telescopes, Instruments, and Systems",j196,p350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,k586,hydrodynamic focusing
"Journal of Astronomical Telescopes, Instruments, and Systems",j196,p350,Enhanced Detection of Single Viruses On-Chip via Hydrodynamic Focusing,k589,optofluidics
IOP Conference Series: Materials Science and Engineering,j197,p355,The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,k1019,Gases
IOP Conference Series: Materials Science and Engineering,j197,p355,The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,k1020,SLW model
IOP Conference Series: Materials Science and Engineering,j197,p355,The spectral line weighted-sum-of-gray-gases (SLW) model for prediction of radiative transfer in molecular gases,k1021,Thermal radiation
IEEE Journal of Quantum Electronics,j198,p357,Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,k1028,Combustion
IEEE Journal of Quantum Electronics,j198,p357,Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,k1029,On-site measurements
IEEE Journal of Quantum Electronics,j198,p357,Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,k1030,Two-phase flow
IEEE Journal of Quantum Electronics,j198,p357,Measurements and modeling of fluid flow and thermal processes in an industrial precalciner,k819,Numerical simulation
Optics and Photonics News,j199,p358,Using a Product's Sustainability Space as a Design Exploration Tool,k1031,social sustainability
Optics and Photonics News,j199,p358,Using a Product's Sustainability Space as a Design Exploration Tool,k1032,sustainable design
Telematics and Informatics,j2,p4,Religion-focused dating apps: A Q methodology study on the uses of mutual,k10,Mobile phones
Telematics and Informatics,j2,p4,Religion-focused dating apps: A Q methodology study on the uses of mutual,k11,Uses and gratifications
Telematics and Informatics,j2,p4,Religion-focused dating apps: A Q methodology study on the uses of mutual,k8,Dating
Telematics and Informatics,j2,p4,Religion-focused dating apps: A Q methodology study on the uses of mutual,k9,Emerging adults
Journal of Water Process Engineering,j20,p25,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,k101,Cooperative navigation
